"","file_id","depth","peak_name","ratio","amount.ug","conc_rock.ug_g","conc_tle.ug.g","conc_maltene.ug.g"
"54","TSQ275_GB_OG002 _fullscan",125.015,"C16",NA,49.6641380897227,4.96591721725054,1.99454369838246,3.6251195685929
"55","TSQ275_GB_OG002 _fullscan",125.015,"C17",NA,85.5852838586782,8.55767261860596,3.43715999432447,6.24710101158235
"56","TSQ275_GB_OG002 _fullscan",125.015,"C18",NA,108.010513258715,10.7999713287386,4.3377716168159,7.88397906997918
"57","TSQ275_GB_OG002 _fullscan",125.015,"C19",NA,145.386882881581,14.5372345647016,5.83883063781455,10.6121812322322
"58","TSQ275_GB_OG002 _fullscan",125.015,"C20",NA,164.365214151779,16.4348779273852,6.60101261653739,11.9974608869912
"59","TSQ275_GB_OG002 _fullscan",125.015,"C21",NA,177.758414910075,17.774064084599,7.13889216506334,12.9750667817573
"60","TSQ275_GB_OG002 _fullscan",125.015,"C22",NA,179.5065111262,17.9488562269973,7.20909683237759,13.102665045708
"61","TSQ275_GB_OG002 _fullscan",125.015,"C23",NA,213.483708187208,21.3462361951013,8.57364289908477,15.582752422424
"62","TSQ275_GB_OG002 _fullscan",125.015,"C24",NA,230.497358163166,23.0474310732092,9.25692201458508,16.8246246834427
"63","TSQ275_GB_OG002 _fullscan",125.015,"C25",NA,328.712077962042,32.8679210041038,13.2012882715681,23.9935823329957
"64","TSQ275_GB_OG002 _fullscan",125.015,"C26",NA,339.371177138913,33.9337243414571,13.6293645437316,24.7716187692637
"65","TSQ275_GB_OG002 _fullscan",125.015,"C27",NA,469.601620417991,46.9554664951496,18.859502828032,34.2774905414592
"66","TSQ275_GB_OG002 _fullscan",125.015,"C28",NA,1.47317344193483,0.14730261393209,0.0591635920455763,0.107530908170426
"67","TSQ275_GB_OG002 _fullscan",125.015,"C29",NA,660.697807143594,66.0631743969197,26.5340484796627,48.2261173097514
"68","TSQ275_GB_OG002 _fullscan",125.015,"C30",NA,460.673130009857,46.0627067303127,18.5009289160587,33.6257759131283
"69","TSQ275_GB_OG002 _fullscan",125.015,"C31",NA,651.598411864283,65.153325853843,26.1686109182446,47.5619278733054
"70","TSQ275_GB_OG002 _fullscan",125.015,"C32",NA,246.819792677128,24.6795113165811,9.91244147297713,18.0160432611042
"71","TSQ275_GB_OG002 _fullscan",125.015,"C33",NA,287.791586630426,28.7762810349391,11.5578950453988,21.0066851555055
"72","TSQ275_GB_OG002 _fullscan",125.015,"C34",NA,91.2288855132071,9.12197635368535,3.66381066318105,6.6590427381903
"73","TSQ275_GB_OG002 _fullscan",125.015,"C35",NA,44.4973256069108,4.44928763192789,1.78704118903258,3.24797997130736
"74","TSQ275_GB_OG002 _fullscan",125.015,"C36",NA,14.7336109563566,1.47321377425823,0.591711283387822,1.07544605520851
"75","TSQ275_GB_OG002 _fullscan",125.015,"C37",NA,0.233044664882607,0.0233021362746332,0.00935922348926143,0.0170105594804823
"76","TSQ275_GB_OG002 _fullscan",125.015,"C38",NA,8.84836180430067,0.884747705659501,0.355355895755051,0.645865825131436
"77","TSQ275_GB_OG002 _fullscan",125.015,"C39",NA,10.6705611620251,1.06694942126038,0.428536592852417,0.778873077520077
"78","TSQ275_GB_OG002 _fullscan",125.015,"Ph",NA,246.185516922614,24.6160900832531,9.88696855110912,17.9697457607747
"79","TSQ275_GB_OG002 _fullscan",125.015,"Pr",NA,1507.11897679747,150.696827996947,60.5268665380516,110.008684437771
"80","TSQ275_GB_OG002 _fullscan",125.015,"SCAng",NA,NA,NA,16.4148827972024,NA
"81","TSQ275_GB_OG002 _fullscan",125.015,"LCAng",NA,NA,NA,84.9070984603707,NA
"82","TSQ275_GB_OG002 _fullscan",125.015,"CPI_top",NA,NA,NA,98.1083867319388,NA
"83","TSQ275_GB_OG002 _fullscan",125.015,"CPI_bottom",NA,NA,NA,45.7657091879941,NA
"84","TSQ275_GB_OG002 _fullscan",125.015,"C17n",NA,NA,NA,58.4317199035159,NA
"85","TSQ275_GB_OG002 _fullscan",125.015,"C19n",NA,NA,NA,110.937782118476,NA
